table_id,title,source_data,role,priority
Supplementary Table 1,Full data dictionary and variable definitions,data_dictionary.csv/xlsx,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 2,Analysis registry and prespecified claim boundaries,phase0_no_digestion_analysis_registry.csv; phase0_overclaim_guardrails.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 3,NHANES weighted descriptive table by oxidative quartile,phase2_weighted_table1_by_oxidative_quartile.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 4,Full NHANES R survey model results,phase2_R_survey_main_results.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 5,R survey vs Python comparison,phase2_R_survey_vs_python_comparison.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 6,NHANES dose-response quartile summary,phase2_nhanes_dose_response_quartile_summary.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 7,NHANES spline coefficients and prediction grid,phase2_python_rcs_spline_coefficients.csv; phase2_python_rcs_prediction_grid.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 8,NHANES effect modification,nhanes_effect_modification_results.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 9,NHANES sensitivity and negative-control-like analyses,nhanes_negative_control_and_sensitivity_results.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 10,DEHP mixture/composition proxy results,nhanes_dehp_mixture_composition_results.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 11,"MSI component scaler, missingness, PCA weights, correlations",stage1_msi_component_scaler.csv; phase1_msi_pca_component_weights.csv; phase1_msi_version_correlations.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 12,CGMacros subject-level PPGR by MSI,phase3_subject_level_ppgr_msi_summary.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 13,CGMacros full cluster-robust meal-level models,stage3_cgmacros_msi_ppgr_model_results.csv; Table3_CGMacros_MSI_PPGR_results.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 14,CGMacros bootstrap and influence diagnostics,phase3_subject_bootstrap_key_terms.csv; phase3_leave_one_subject_influence.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 15,High-response definition sensitivity,phase3_high_response_definition_sensitivity.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 16,Food-matrix annotation codebook and features,cgmacros_food_matrix_annotation.csv; food_matrix_annotation_codebook.md,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 17,Food-matrix PPGR models,cgmacros_food_matrix_ppgr_models.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 18,CGM curve phenotype features and models,cgmacros_ppgr_curve_features.csv; curve_shape_msi_food_matrix_models.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 19,"Prediction model performance, calibration, conformal intervals",phase4_model_performance_overall.csv; phase4_calibration_deciles.csv; phase4_conformal_interval_coverage.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 20,Prediction leakage audit and predictor dictionary,prediction_leakage_audit.csv; prediction_predictor_dictionary.csv,Supplementary evidence / reproducibility / reviewer defense,High
Supplementary Table 21,Prediction performance by MSI subgroup,phase4_performance_by_msi.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 22,Counterfactual meal redesign results,counterfactual_meal_redesign_effects.csv; counterfactual_subject_level_heterogeneity.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 23,External CGM transportability map,external_transportability_map.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 24,External domain shift and macro directionality,external_domain_shift_metrics.csv; external_macro_direction_consistency.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 25,Mechanism knowledge graph edges and pathway enrichment,dehp_msi_mechanism_knowledge_graph_edges.csv; dehp_msi_pathway_enrichment.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 26,Literature evidence map and evidence gaps,dry_lab_evidence_map_seed.csv; dry_lab_evidence_gap_table.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 27,Reproducibility manifest and run order,analysis_manifest.csv; run_order.md,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 28,Source-data mapping for all display items,display_source_data_map.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 29,Reviewer concern-response matrix,reviewer_concern_response_matrix.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
Supplementary Table 30,Figure and table production priority tracker,figure_build_priority_and_gap_audit.csv,Supplementary evidence / reproducibility / reviewer defense,Medium
