candidate_id,prototype_class,calories,carbs,protein,fat,fiber,recommended_redesign,primary_mechanistic_contrast,zero_fiber_flag,repeated_macro_signature
CGM_BD_01,high_carb_high_fat_processed_proxy,712.0,66.0,22.0,42.0,0.0,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,1,3
CGM_BD_02,high_carb_high_fat_processed_proxy,712.0,66.0,22.0,42.0,0.0,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,1,3
CGM_BD_03,high_carb_high_fat_processed_proxy,712.0,66.0,22.0,42.0,0.0,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,1,3
CGM_BD_04,high_msi_high_ppgr_real_meal,448.0,66.0,22.0,10.5,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,5
CGM_BD_05,high_msi_high_ppgr_real_meal,448.0,66.0,22.0,10.5,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,5
CGM_BD_06,high_msi_high_ppgr_real_meal,448.0,66.0,22.0,10.5,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,5
CGM_BD_07,model_high_risk_other,448.0,66.0,22.0,10.5,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,5
CGM_BD_08,model_high_risk_other,456.0,44.0,34.0,16.0,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,1
CGM_BD_09,model_high_risk_other,448.0,66.0,22.0,10.5,0.0,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber,Observed high PPGR meal vs model-recommended low-risk redesign,1,5
CGM_BD_10,high_carb_high_protein_mixed,608.0,66.0,66.0,10.5,0.0,Keep protein constant; compare intact-grain/low-gelatinization starch vs original starch structure,Same carbohydrate load with altered starch physical structure,1,2
CGM_BD_11,high_carb_high_protein_mixed,608.0,66.0,66.0,10.5,0.0,Keep protein constant; compare intact-grain/low-gelatinization starch vs original starch structure,Same carbohydrate load with altered starch physical structure,1,2
CGM_BD_12,refined_high_carb_low_fiber,1680.0,168.0,50.0,110.0,0.0,Add 5 g soluble fiber and/or replace 25-30% refined starch with resistant-starch/whole-grain equivalent,Refined starch rapid-release vs fiber/resistant-starch slowed release,1,1
