candidate_id,experiment_group,version,prototype_class,base_subject_id,base_meal_time,target_available_carbs_g,target_fiber_added_g,technical_replicates,primary_endpoint,secondary_endpoints,mechanistic_contrast,redesign_rule
CGM_BD_01,CGM_BD_01_original,original,high_carb_high_fat_processed_proxy,30,2021-01-26 07:55:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,original recipe/prototype
CGM_BD_01,CGM_BD_01_redesigned,redesigned,high_carb_high_fat_processed_proxy,30,2021-01-26 07:55:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables
CGM_BD_02,CGM_BD_02_original,original,high_carb_high_fat_processed_proxy,39,2025-02-10 08:54:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,original recipe/prototype
CGM_BD_02,CGM_BD_02_redesigned,redesigned,high_carb_high_fat_processed_proxy,39,2025-02-10 08:54:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables
CGM_BD_03,CGM_BD_03_original,original,high_carb_high_fat_processed_proxy,45,2025-04-02 09:40:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,original recipe/prototype
CGM_BD_03,CGM_BD_03_redesigned,redesigned,high_carb_high_fat_processed_proxy,45,2025-04-02 09:40:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,High-fat high-carb mixed matrix vs lower-carb protein/fiber substitution,Reduce refined carbohydrate to 45 g available carbs and replace energy with lean protein/non-starchy vegetables
CGM_BD_04,CGM_BD_04_original,original,high_msi_high_ppgr_real_meal,39,2025-02-08 08:57:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
CGM_BD_04,CGM_BD_04_redesigned,redesigned,high_msi_high_ppgr_real_meal,39,2025-02-08 08:57:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_05,CGM_BD_05_original,original,high_msi_high_ppgr_real_meal,49,2025-05-12 07:05:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
CGM_BD_05,CGM_BD_05_redesigned,redesigned,high_msi_high_ppgr_real_meal,49,2025-05-12 07:05:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_06,CGM_BD_06_original,original,high_msi_high_ppgr_real_meal,35,2024-12-18 07:10:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
