topic,source,url,key_message,implication
PPGR benchmark,"Nature Medicine 2025, standardized carbohydrate meal PPGR study",https://www.nature.com/articles/s41591-025-03719-2,"Equivalent carbohydrate meals produce different PPGRs; individual carb-response types, mitigator effects, metabolic tests, microbiome, metabolomics and proteomics create a high-level benchmark.","Our next validation should use standardized repeated meals and molecular/metabolic phenotyping, not only free-living meal prediction."
Personalized PPGR,"Zeevi et al., Cell 2015",https://www.cell.com/fulltext/S0092-8674(15)01481-6,"Week-long CGM, real meals, clinical variables and microbiome predicted individualized glycemic responses and supported personalized diet intervention.","Our CGMacros result needs strong subject-disjoint validation and should be positioned as bridge phenotype, not a full personalized-diet algorithm."
Precision nutrition,"PREDICT 1, Nature Medicine 2020",https://pubmed.ncbi.nlm.nih.gov/32528151/,Large-scale standardized and free-living postprandial responses showed major interindividual variability and external validation.,A high-level paper needs either a PREDICT-like standardized test component or a very strong cross-dataset validation story.
Public CGM dataset,CGMacros PhysioNet 2025,https://physionet.org/content/cgmacros/,"CGMacros provides CGM, food macronutrients, food photographs, activity, blood panels and microbiome-related features.",It is useful but modest in participant number; subject-disjoint validation and food image annotation are essential.
Stanford CGMDB,Stanford Continuous Glucose Monitoring Database,https://cgmdb.stanford.edu/data/,"Provides CGM, lipid, metadata, metabolomics and Olink data.","Use Stanford molecular layers to create a stronger metabolic susceptibility validation, not only a CGM boundary test."
Phthalate/MetS evidence,Recent review: Impact of DEHP on metabolic syndrome,https://pmc.ncbi.nlm.nih.gov/articles/PMC12255270/,DEHP can interfere with lipid metabolism and insulin signaling; mechanisms include endocrine disruption and metabolic pathways.,"Mechanism discussion should converge on insulin signaling, lipid metabolism, PPAR/AMPK and inflammatory/oxidative stress."
Environmental mixture methods,"qgcomp, WQS and BKMR mixture-method literature",https://pmc.ncbi.nlm.nih.gov/articles/PMC7228100/ ; https://academic.oup.com/biostatistics/article/16/3/493/269719 ; https://pubmed.ncbi.nlm.nih.gov/30505142/,"Modern environmental epidemiology estimates joint mixture effects and component weights/nonlinearities, but interpretability depends on using real exposure components rather than mathematically nested derived ratios.",The main NHANES model should use raw urinary phthalate/plasticizer metabolites; derived DEHP burden and oxidative ratios should be secondary mechanistic features.
Phthalate metabolites,NHANES PHTHTE 2013-2014 documentation,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PHTHTE_H.htm,"Provides raw phthalate/plasticizer metabolite variables including MECPP, MEHHP, MEHP, MEOHP and LOD flags.",Rebuild exposure mixture from raw monomer metabolites; derived total/ratio metrics should not be the primary mixture inputs.
CGM outcome design,Modern PPGR/CGM studies with repeated standardized challenges and rich molecular phenotyping,https://www.nature.com/articles/s41591-025-03719-2 ; https://pubmed.ncbi.nlm.nih.gov/32528151/,"High-impact PPGR studies increasingly emphasize repeated standardized meals, reproducible individual response types, and molecular/clinical layers rather than a single scalar outcome.",Model full postprandial curves and response types where raw CGM traces are available; keep iAUC/peak as interpretable primary endpoints but add curve-shape robustness.
Food matrix/digestion,INFOGEST 2.0,https://pubmed.ncbi.nlm.nih.gov/30886367/,Consensus digestion protocol for standardized in vitro digestion.,Optional wet validation should test 8-12 manually annotated meals for glucose release kinetics.
FDC data infrastructure,USDA FoodData Central API Guide,https://fdc.nal.usda.gov/api-guide,FDC search/detail endpoints are available; DEMO_KEY has low limits and 429 means rate limit exceeded.,Apply for a real API key or use offline FDC downloads; current DEMO_KEY result is not publishable.
Prediction reporting,TRIPOD+AI 2024,https://www.tripod-statement.org/,TRIPOD+AI is a 27-item checklist for transparent prediction model reporting.,"Every CGMacros/Stanford model must report objectives, splits, missingness, predictors, calibration, uncertainty and code availability."
Prediction bias assessment,PROBAST+AI 2025,https://www.bmj.com/content/388/bmj-2024-082505,Updated tool evaluates risk of bias and applicability for regression and AI prediction models.,"The manuscript must proactively handle data leakage, sample size, participants/data source applicability and analysis domains."
Mechanism databases,EPA CompTox Dashboard and NCBI GEO,https://www.epa.gov/comptox-tools/comptox-chemicals-dashboard ; https://www.ncbi.nlm.nih.gov/geo/info/overview.html,CompTox integrates chemical toxicity/exposure/bioassay data; GEO archives high-throughput functional genomics data.,"Mechanism layer should become assay/omics-supported, not only CTD pathway overlap."
