domain,search_query,screening_priority,screening_note
PPGR_precision_nutrition,CGM personalized nutrition postprandial glucose prediction randomized trial,high,Use for formal 80-120 paper scoping review expansion.
PPGR_precision_nutrition,postprandial glycemic response prediction microbiome meal composition CGM,high,Use for formal 80-120 paper scoping review expansion.
PPGR_precision_nutrition,precision nutrition glycemic response machine learning review,high,Use for formal 80-120 paper scoping review expansion.
phthalates_metabolic_health,NHANES DEHP oxidative metabolites insulin resistance HOMA metabolic syndrome,high,Use for formal 80-120 paper scoping review expansion.
phthalates_metabolic_health,phthalate mixtures qgcomp WQS BKMR metabolic syndrome diabetes,high,Use for formal 80-120 paper scoping review expansion.
phthalates_metabolic_health,DEHP MEHP oxidative stress insulin signaling PPAR adipogenesis review,high,Use for formal 80-120 paper scoping review expansion.
food_structure_digestion,food matrix glycemic response in vitro digestion glucose release starch accessibility,high,Use for formal 80-120 paper scoping review expansion.
food_structure_digestion,NOVA ultra processed foods continuous glucose monitoring postprandial glucose,high,Use for formal 80-120 paper scoping review expansion.
food_structure_digestion,glycemic index glycemic load database food matrix fiber protein fat coingestion,high,Use for formal 80-120 paper scoping review expansion.
methods_guidelines,TRIPOD AI PROBAST AI prediction model checklist calibration decision curve,high,Use for formal 80-120 paper scoping review expansion.
methods_guidelines,STROBE-ME STROBE-nut environmental biomarker dietary observational study,high,Use for formal 80-120 paper scoping review expansion.
methods_guidelines,target trial emulation nutrition intervention observational data g-computation,high,Use for formal 80-120 paper scoping review expansion.
