display_id,title,recommended_panels,source_data,reviewer_value,priority,build_status
ED Figure 1,"Dataset flow, exclusions, and analytic sample construction","participant/meal/event inclusion flow across NHANES, CGMacros, Stanford, T1D-UOM, Jaeb",Table1; analysis manifests; dataset inventories,Supports transparency.,High,Design specified; build from listed source data.
ED Figure 2,NHANES weighted Table 1 by DEHP oxidative quartile,demographic/metabolic balance by exposure quartile,phase2_weighted_table1_by_oxidative_quartile.csv,Addresses confounding and exposure distribution.,High,Design specified; build from listed source data.
ED Figure 3,NHANES R survey vs Python reproducibility,paired estimates and differences,phase2_R_survey_vs_python_comparison.csv,Shows formal R survey confirmation.,High,Design specified; build from listed source data.
ED Figure 4,NHANES subgroup/effect-modification heatmap,"sex, age, obesity, diabetes history, race/ethnicity, diet-source proxy",nhanes_effect_modification_results.csv,Addresses heterogeneity.,High,Design specified; build from listed source data.
ED Figure 5,NHANES sensitivity and negative-control-like analyses,"exclude diabetes, no creatinine adjustment, height outcome, negative-control-like exposure",nhanes_negative_control_and_sensitivity_results.csv,Addresses residual confounding.,High,Design specified; build from listed source data.
ED Figure 6,DEHP mixture/composition proxy analysis,composition coefficients and clr/ilr terms,nhanes_dehp_mixture_composition_results.csv,Addresses exposure mixture concern.,High,Design specified; build from listed source data.
ED Figure 7,MSI component missingness and version correlations,"missingness heatmap, correlations across MSI variants",phase1_msi_component_missingness.csv; phase1_msi_version_correlations.csv,Defends MSI construction.,High,Design specified; build from listed source data.
ED Figure 8,CGMacros high-response threshold sensitivity,"top quartile, alternative definitions, iAUC/peak agreement",phase3_high_response_definition_sensitivity.csv,Addresses endpoint arbitrariness.,High,Design specified; build from listed source data.
ED Figure 9,Subject bootstrap and leave-one-subject influence,bootstrap distributions and influence diagnostics,phase3_subject_bootstrap_key_terms.csv; phase3_leave_one_subject_influence.csv,Addresses small n=40 concern.,High,Design specified; build from listed source data.
ED Figure 10,Food-matrix annotation audit and feature dictionary,NOVA/GI/GL/digestibility proxy feature distributions,cgmacros_food_matrix_annotation.csv; food_matrix_annotation_codebook.md,Addresses proxy validity.,Medium,Design specified; build from listed source data.
ED Figure 11,Counterfactual meal redesign scenario results,predicted risk reductions by redesign scenario and subgroup,counterfactual_meal_redesign_effects.csv,Shows translational nutrition utility.,Medium,Design specified; build from listed source data.
ED Figure 12,Prediction leakage audit and predictor dictionary,"forbidden predictors, allowed predictors, model card summary",prediction_leakage_audit.csv; prediction_predictor_dictionary.csv,TRIPOD/PROBAST defense.,Medium,Design specified; build from listed source data.
ED Figure 13,Prediction conformal interval and net benefit details,"coverage/width by target/model, net benefit curves",phase4_conformal_interval_coverage.csv; prediction_model_performance_summary.csv,Calibration/uncertainty evidence.,Medium,Design specified; build from listed source data.
ED Figure 14,External dataset domain shift diagnostics,"event scale, subject scale, macro direction, healthy time-above-threshold reference",external_domain_shift_metrics.csv; external_transportability_map.csv,Generalizability boundary.,Medium,Design specified; build from listed source data.
ED Figure 15,Mechanism knowledge graph and pathway enrichment,"curated edges, evidence type, pathway enrichment",dehp_msi_mechanism_knowledge_graph_edges.csv; dehp_msi_pathway_enrichment.csv,Mechanistic plausibility.,Medium,Design specified; build from listed source data.
ED Figure 16,Full source-data lineage and reproducibility map,which script generated every claim/table/figure,analysis_manifest.csv; phase0_to_phase4_file_manifest.csv,Reproducibility asset.,Medium,Design specified; build from listed source data.
