domain,source,key_message,how_to_use,url
PPGR精准营养,"Zeevi et al., Cell 2015, Personalized Nutrition by Prediction of Glycemic Responses","800人真实生活CGM与46898餐显示相同食物的PPGR高度个体化, 模型整合饮食、人体测量、血液、活动和微生物组后可预测个体反应。","作为本研究CGMacros个体化PPGR建模的理论锚点, 但需强调本项目样本量更小, 目标是外部证据三角互证而非复制大队列。",https://pubmed.ncbi.nlm.nih.gov/26590418/
PPGR精准营养,"Berry et al., Nature Medicine 2020, PREDICT 1","1002名参与者的餐后甘油三酯、葡萄糖和胰岛素反应存在显著个体差异, 机器学习可预测餐后反应。","支持将PPGR作为动态代谢表型, 并提示应将血脂、胰岛素和生活方式作为后续扩展方向。",https://pubmed.ncbi.nlm.nih.gov/32528151/
PPGR外部验证,"Mendes-Soares et al., JAMA Network Open 2019","在无糖尿病个体中验证个体化PPGR预测框架, 讨论模型相对热量/碳水规则的增益。",作为外部验证、模型泛化和临床可解释性的参照。,https://pubmed.ncbi.nlm.nih.gov/30735238/
CGMacros数据,"CGMacros, PhysioNet 2025; Scientific Data manuscript noted as under review on PhysioNet page","45名参与者, 包含双CGM、餐食宏量营养、餐食照片、活动、血液指标和肠道微生物组, 连续10天自由生活场景。",当前研究的动态生理核心数据源; 需使用受试者层面分割和层级模型控制小样本风险。,https://physionet.org/content/cgmacros/
CGM外部数据,Stanford Continuous Glucose Monitoring Database,"提供CGM、表型、脂质、代谢组和蛋白组等下载数据, 可用于CGM表型和跨数据集泛化边界分析。","作为外部边界验证数据, 不强求与CGMacros同构, 重点验证MSI/CGM曲线表型的可迁移性。",https://cgmdb.stanford.edu/data/
环境暴露与代谢,"Trasande et al., Pediatrics 2013, Urinary Phthalates and Insulin Resistance in Adolescents","NHANES青少年中尿DEHP代谢物与胰岛素抵抗呈正相关, 横断面限制明确。","支持DEHP-胰岛素抵抗方向的既有流行病学背景, 同时提醒避免过度因果表述。",https://pubmed.ncbi.nlm.nih.gov/23958772/
环境暴露与代谢,"James-Todd et al., Environmental Health Perspectives 2012",NHANES女性中多种邻苯二甲酸酯代谢物与糖尿病及血糖/胰岛素抵抗指标相关。,"为成人人群暴露-糖代谢关联提供基础证据, 后续应按性别和年龄分层。",https://pubmed.ncbi.nlm.nih.gov/22796563/
环境暴露与代谢,"Shoshtari-Yeganeh et al., Systematic review/meta-analysis 2019",系统综述和Meta分析提示邻苯二甲酸酯暴露与HOMA-IR升高相关。,"作为环境暴露与胰岛素抵抗关系的证据等级补强, 用于引言和讨论的证据基座。",https://pubmed.ncbi.nlm.nih.gov/30734259/
环境混合物方法,"Yi et al., Frontiers in Public Health 2025, NHANES Circadian Syndrome",使用加权回归、RCS、BKMR和qgcomp研究NHANES中邻苯二甲酸酯混合暴露与Circadian Syndrome。,"提示本项目NHANES模块应采用混合物模型、非线性和敏感性分析, 不只做单暴露回归。",https://pmc.ncbi.nlm.nih.gov/articles/PMC12245799/
食物基质与淀粉消化,"INFOGEST 2.0, Nature Protocols 2019","标准化静态体外胃肠消化协议, 涵盖口腔、胃和小肠阶段。","作为后续少量仿生体外消化验证的标准参照, 也可用于干实验消化可得性评分构建。",https://pubmed.ncbi.nlm.nih.gov/30886367/
