domain,citation_short,evidence_type,sample_or_scope,key_message,relevance_to_project,url
PPGR_precision_nutrition,"Zeevi et al., Cell 2015",prospective CGM cohort and prediction model,"800 participants; 46,898 meals",Identical foods can produce highly individualized postprandial glucose responses.,Supports PPGR vulnerability as a dynamic phenotype.,https://www.cell.com/fulltext/S0092-8674(15)01481-6
PPGR_precision_nutrition,"Berry et al., Nature Medicine 2020 / PREDICT 1",deep phenotyping postprandial cohort,twins and unrelated adults; standardized and free-living meals,"Meal composition, individual traits, microbiome and lifestyle jointly shape postprandial responses.",Justifies multiscale meal plus host susceptibility modeling.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8265154/
PPGR_precision_nutrition,Nature Medicine personalized nutrition RCT 2024,randomized clinical trial,cardiometabolic health intervention,Personalized nutrition programs can be tested as actionable interventions rather than descriptive prediction only.,Supports the counterfactual meal redesign and future intervention framing.,https://www.nature.com/articles/s41591-024-02951-6
CGM_functional_phenotyping,"Functional data analysis of postprandial CGM trajectories, 2025",methods paper,complete postprandial CGM trajectories,Full CGM curve shape can carry information lost by peak/iAUC summaries.,Motivates Module D curve phenotype expansion.,https://link.springer.com/article/10.1186/s12874-025-02748-2
phthalates_metabolic_health,Stahlhut et al./PLOS ONE DEHP insulin resistance 2013,NHANES environmental epidemiology,US adults with urinary DEHP metabolites,DEHP metabolite patterns were associated with insulin resistance markers.,Upstream support for DEHP oxidative profile -> MSI.,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0071392
phthalates_metabolic_health,"Trasande et al., urinary phthalates and adolescent insulin resistance",cross-sectional NHANES analysis,US adolescents,Phthalate metabolites have been linked to insulin resistance in younger populations.,Supports age/sex heterogeneity and metabolic susceptibility framing.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4528350/
phthalates_metabolic_health,"Phthalates and metabolic syndrome, NHANES",population biomonitoring study,US adults,Urinary phthalate biomarkers have been associated with metabolic syndrome components.,Connects exposure biomarkers with the MSI component space.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4832560/
mixtures_methods,WQS/qgcomp/BKMR phthalate mixture analysis,environmental mixture methods,multi-pollutant biomarker data,Mixture models reduce single-exposure overclaiming in correlated chemical biomarker settings.,Motivates Module B mixture/composition sensitivity.,https://link.springer.com/article/10.1186/s40001-026-04036-1
food_structure_digestion,INFOGEST consensus digestion protocol,international in vitro digestion standard,static digestion method harmonization,Standardized digestion conditions enable reproducible food matrix comparisons.,Anchors bionic digestion endpoint selection.,https://infogest.hub.inrae.fr/infogest-scientific-publications
food_structure_digestion,Simple in vitro glucose release protocol,digestion/glucose release methods,food carbohydrate digestion assays,Glucose release iAUC/Cmax/early slope are plausible mechanistic endpoints.,Directly informs Stage 5 bionic digestion readouts.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12121517/
food_database,USDA FoodData Central,official nutrient database,branded and foundation food nutrient composition,Provides standardized macro/micronutrient lookup and API access.,Can enrich meal annotation beyond manually logged macros.,https://fdc.nal.usda.gov/api-guide
food_database,University of Sydney Glycemic Index Database,glycemic index reference database,foods with GI/GL metadata,Food-specific GI supports glycemic load proxies.,Supports food matrix/digestibility-risk scoring.,https://glycemicindex.com/
food_database,Open Food Facts API,open product database,packaged food labels and NOVA-related fields,Can provide processing and product-level proxies for packaged foods.,Supports NOVA/processing proxy annotation.,https://openfoodfacts.github.io/openfoodfacts-server/api/
mechanism_database,EPA CompTox Chemicals Dashboard,chemical bioactivity/toxicity database,"chemicals, assays, exposure and bioactivity metadata",DEHP and metabolites can be connected to toxicology assay and pathway evidence.,Backbone for Module E mechanism graph.,https://www.epa.gov/comptox-tools/comptox-chemicals-dashboard
mechanism_database,PubChem DEHP compound record,chemical reference database,compound identity and links,Provides stable identifiers for DEHP and metabolite mapping.,Prevents ambiguous chemical naming in the mechanism table.,https://pubchem.ncbi.nlm.nih.gov/compound/8343
reporting_guideline,TRIPOD+AI BMJ 2024,reporting guideline,AI-enabled prediction model studies,"Specifies complete reporting of data, predictors, modeling, validation and performance.",Module H checklist basis.,https://www.bmj.com/content/385/bmj-2023-078378
reporting_guideline,PROBAST+AI BMJ 2025,risk-of-bias and applicability tool,AI prediction model studies,"Structures bias assessment across participants, predictors, outcomes and analysis.",Module H self-assessment basis.,https://www.bmj.com/content/388/bmj-2024-082505
reporting_guideline,STROBE-ME,molecular epidemiology reporting guideline,biomarker-based observational studies,"Improves reporting of biomarker handling, assay and confounding issues.",Module B environmental biomarker reporting.,https://www.equator-network.org/reporting-guidelines/strobe-me/
reporting_guideline,STROBE-nut,nutritional epidemiology reporting guideline,diet/nutrition observational studies,Improves transparency for dietary data and nutritional exposures.,Module C/G nutrition modeling reporting.,https://www.equator-network.org/reporting-guidelines/strobe-nut/
causal_methods,Target trial emulation framework,causal inference framework,observational data emulating hypothetical interventions,"Explicit eligibility, strategies, follow-up and contrast reduce causal overclaiming.",Module G counterfactual meal redesign protocol.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10392882/
