checklist,item_id,domain,requirement,current_project_status,evidence_or_file,remaining_action_before_submission
TRIPOD+AI,TRIPODAI-01,Title/Abstract,Identify the study as prediction model development/validation and mention AI/ML methods where used.,addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-02,Background,"Explain intended use, target population, and prediction horizon for PPGR.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-03,Data Source,"Describe CGMacros and Stanford CGM data provenance, inclusion, and preprocessing.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-04,Participants,"Report participant flow, exclusions, and subject-disjoint split logic.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-05,Outcome,"Define iaUC, peak delta, baseline window, and meal response window.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-06,Predictors,"Define meal, context, MSI, and food-matrix predictors before modeling.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-07,Missing Data,Report imputation rules and variables with missingness.,addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-08,Sample Size,Report number of subjects and meals; avoid treating meals as independent subjects.,addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-09,Model Development,"Specify ridge regression, feature scaling, hyperparameter, and no subject leakage.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-10,Validation,Use subject-disjoint cross-validation and Stanford external boundary validation.,addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-11,Performance,"Report MAE, RMSE, R2, Pearson r, calibration intercept/slope.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-12,Explainability,Report coefficient direction and food-matrix/MSI contributions.,addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
TRIPOD+AI,TRIPODAI-13,Reproducibility,"Provide script, package versions, random seed, and output manifest.",addressed_in_upgrade_package,high_impact_computational_upgrade_2026-06-11,Replace approximation labels with final R/package runs where required; complete manual manuscript page/line references.
